voltage,current
0.220002085,0.00201103494
0.225009277,0.00210566774
0.230015844,0.00220226839
0.23502253,0.00230084702
0.240029037,0.00240052924
0.245036706,0.00250149071
0.250044256,0.00260558188
0.255051076,0.00271261811
0.260057032,0.00282272607
0.265063614,0.00293409437
0.267571002,0.00299417645
0.267483383,0.00299414337
0.267331749,0.00299414426
0.267224133,0.00299412102
0.267160594,0.0029940924
0.26713261,0.00299408257
0.267172575,0.0029940787
0.267184079,0.00299408942
0.267117679,0.00299402952
0.267058611,0.00299407154
0.267100662,0.00299405694
0.267143667,0.00299409449
0.267091125,0.0029940629
0.267038524,0.00299407065
0.267062277,0.0029940775
0.267100275,0.00299409926
0.267059386,0.00299410284
0.26703614,0.00299410224
0.267034858,0.00299412042
0.267113507,0.00299408883
0.267023593,0.00299410433
0.267018467,0.00299411952
0.26703617,0.00299411207
0.267024636,0.00299410045
0.267067611,0.00299411386
0.266921669,0.00299409091
0.266944498,0.00299409747
0.266955733,0.00299411744
0.26692009,0.00299411744
0.266919553,0.00299412608
0.266890854,0.00299414217
0.26690051,0.00299412102
0.266922414,0.00299416244
0.266953409,0.00299416006
0.266917586,0.0029941681
0.266903281,0.00299415946
0.266945451,0.00299415946
0.266957462,0.00299415737
0.266921133,0.00299413055
0.266887277,0.00299415141
0.266911179,0.0029941538
0.266949803,0.00299418241
0.266920835,0.00299417943
0.266907334,0.00299417436
0.266902894,0.00299416929
0.266934752,0.00299415082
0.266931504,0.00299418867
0.266917825,0.00299416512
